Unnamed: 0_x,pc11_s_id,pc11_d_id,pc11_sd_id,pc11_tv_id,tv_name,State Name,sd_name,d_name,Unnamed: 0_y,StateName,DistrictName,BlockName,VillageName,Contaminents,shrid2,elevation_mean,elevation_median,elevation_percentile_5,elevation_percentile_25,elevation_min,elevation_max,elevation_num_cells,elevation_std
617205,29,568,5519,608264,Basavani,Karnataka,Tirthahalli,Shimoga,624,KARNATAKA,SHIMOGA,TIRTHAHALLI,BASAVANI,"Fluoride : 0.500, Chloride : 350.000, Nitrate : 75.000, Hardness : 7.000",11-29-568-05519-608264,635.0610738255034,633.0,616.0,623.0,610.0,678.0,2980,14.963388032034535
617205,29,568,5519,608264,Basavani,Karnataka,Tirthahalli,Shimoga,625,KARNATAKA,SHIMOGA,TIRTHAHALLI,BASAVANI,"Fluoride : 0.500, Chloride : 250.000, Nitrate : 65.000, Hardness : 350.000",11-29-568-05519-608264,635.0610738255034,633.0,616.0,623.0,610.0,678.0,2980,14.963388032034535
617205,29,568,5519,608264,Basavani,Karnataka,Tirthahalli,Shimoga,626,KARNATAKA,SHIMOGA,TIRTHAHALLI,BASAVANI,"Chloride : 250.000, Nitrate : 50.000, Hardness : 600.000",11-29-568-05519-608264,635.0610738255034,633.0,616.0,623.0,610.0,678.0,2980,14.963388032034535
617213,29,568,5519,608272,Shuntihaklu,Karnataka,Tirthahalli,Shimoga,795,KARNATAKA,SHIMOGA,TIRTHAHALLI,SHUNTIHAKKLU,"Fluoride : 0.500, Chloride : 550.000, Nitrate : 65.000, Hardness : 100.000",11-29-568-05519-608272,699.3117105263158,699.0,633.0,680.0,415.0,832.0,15200,44.80048983191325
617213,29,568,5519,608272,Shuntihaklu,Karnataka,Tirthahalli,Shimoga,796,KARNATAKA,SHIMOGA,TIRTHAHALLI,SHUNTIHAKKLU,"Fluoride : 0.500, Chloride : 250.000, Nitrate : 65.000, Hardness : 100.000",11-29-568-05519-608272,699.3117105263158,699.0,633.0,680.0,415.0,832.0,15200,44.80048983191325
617214,29,568,5519,608273,Huruli,Karnataka,Tirthahalli,Shimoga,789,KARNATAKA,SHIMOGA,TIRTHAHALLI,HURULI,"Fluoride : 0.500, Iron : 0.500, Chloride : 350.000, Nitrate : 70.000, Hardness : 500.000",11-29-568-05519-608273,619.6984732824427,613.0,595.0,605.0,583.0,735.0,4192,24.011442039456348
617218,29,568,5519,608277,Shivalli,Karnataka,Tirthahalli,Shimoga,793,KARNATAKA,SHIMOGA,TIRTHAHALLI,SHIVALLI,"Fluoride : 0.500, Chloride : 250.000, Nitrate : 50.000, Hardness : 100.000",11-29-568-05519-608277,666.5270710059172,657.0,597.0,627.0,585.0,851.0,6760,53.31566019651472
617218,29,568,5519,608277,Shivalli,Karnataka,Tirthahalli,Shimoga,794,KARNATAKA,SHIMOGA,TIRTHAHALLI,SHIVALLI,"Fluoride : 0.500, Chloride : 350.000, Nitrate : 75.000, Hardness : 100.000",11-29-568-05519-608277,666.5270710059172,657.0,597.0,627.0,585.0,851.0,6760,53.31566019651472
617219,29,568,5519,608278,Dasanakodige,Karnataka,Tirthahalli,Shimoga,787,KARNATAKA,SHIMOGA,TIRTHAHALLI,DASANAKUDIGE,"Fluoride : 0.500, Iron : 0.500, Chloride : 850.000, Nitrate : 75.000, Hardness : 550.000",11-29-568-05519-608278,675.3758700696055,669.0,634.0,656.0,615.0,858.0,10344,32.63256119865152
617219,29,568,5519,608278,Dasanakodige,Karnataka,Tirthahalli,Shimoga,788,KARNATAKA,SHIMOGA,TIRTHAHALLI,DASANAKUDIGE,"Fluoride : 0.500, Iron : 0.500, Chloride : 700.000, Nitrate : 60.000, Hardness : 450.000",11-29-568-05519-608278,675.3758700696055,669.0,634.0,656.0,615.0,858.0,10344,32.63256119865152
617221,29,568,5519,608280,Megaravalli,Karnataka,Tirthahalli,Shimoga,761,KARNATAKA,SHIMOGA,TIRTHAHALLI,MEGARAVALLI,"Fluoride : 0.500, Iron : 0.500, Chloride : 300.000, Nitrate : 60.000, Hardness : 450.000",11-29-568-05519-608280,634.8451286764706,633.0,615.0,623.0,591.0,719.0,10880,15.845537858343814
617221,29,568,5519,608280,Megaravalli,Karnataka,Tirthahalli,Shimoga,762,KARNATAKA,SHIMOGA,TIRTHAHALLI,MEGARAVALLI,"Chloride : 250.000, Nitrate : 50.000",11-29-568-05519-608280,634.8451286764706,633.0,615.0,623.0,591.0,719.0,10880,15.845537858343814
617221,29,568,5519,608280,Megaravalli,Karnataka,Tirthahalli,Shimoga,763,KARNATAKA,SHIMOGA,TIRTHAHALLI,MEGARAVALLI,"Chloride : 250.000, Nitrate : 50.000",11-29-568-05519-608280,634.8451286764706,633.0,615.0,623.0,591.0,719.0,10880,15.845537858343814
617221,29,568,5519,608280,Megaravalli,Karnataka,Tirthahalli,Shimoga,764,KARNATAKA,SHIMOGA,TIRTHAHALLI,MEGARAVALLI,"Chloride : 250.000, Nitrate : 50.000",11-29-568-05519-608280,634.8451286764706,633.0,615.0,623.0,591.0,719.0,10880,15.845537858343814
617221,29,568,5519,608280,Megaravalli,Karnataka,Tirthahalli,Shimoga,765,KARNATAKA,SHIMOGA,TIRTHAHALLI,MEGARAVALLI,"Chloride : 250.000, Nitrate : 50.000",11-29-568-05519-608280,634.8451286764706,633.0,615.0,623.0,591.0,719.0,10880,15.845537858343814
617222,29,568,5519,608281,Baggodige,Karnataka,Tirthahalli,Shimoga,779,KARNATAKA,SHIMOGA,TIRTHAHALLI,BAGGUDIGE,"Fluoride : 0.500, Chloride : 250.000, Nitrate : 65.000, Hardness : 100.000",11-29-568-05519-608281,636.9445438282647,637.0,621.0,628.0,613.0,675.0,3913,10.8285073737072
617222,29,568,5519,608281,Baggodige,Karnataka,Tirthahalli,Shimoga,780,KARNATAKA,SHIMOGA,TIRTHAHALLI,BAGGUDIGE,"Fluoride : 0.500, Iron : 0.500, Chloride : 450.000, Nitrate : 65.000, Hardness : 500.000",11-29-568-05519-608281,636.9445438282647,637.0,621.0,628.0,613.0,675.0,3913,10.8285073737072
617222,29,568,5519,608281,Baggodige,Karnataka,Tirthahalli,Shimoga,781,KARNATAKA,SHIMOGA,TIRTHAHALLI,BAGGUDIGE,"Fluoride : 0.500, Iron : 0.500, Chloride : 450.000, Nitrate : 70.000, Hardness : 550.000",11-29-568-05519-608281,636.9445438282647,637.0,621.0,628.0,613.0,675.0,3913,10.8285073737072
617222,29,568,5519,608281,Baggodige,Karnataka,Tirthahalli,Shimoga,782,KARNATAKA,SHIMOGA,TIRTHAHALLI,BAGGUDIGE,"Fluoride : 0.500, Iron : 0.500, Chloride : 450.000, Nitrate : 65.000, Hardness : 500.000",11-29-568-05519-608281,636.9445438282647,637.0,621.0,628.0,613.0,675.0,3913,10.8285073737072
617222,29,568,5519,608281,Baggodige,Karnataka,Tirthahalli,Shimoga,783,KARNATAKA,SHIMOGA,TIRTHAHALLI,BAGGUDIGE,"Fluoride : 0.500, Chloride : 550.000, Nitrate : 65.000, Hardness : 100.000",11-29-568-05519-608281,636.9445438282647,637.0,621.0,628.0,613.0,675.0,3913,10.8285073737072
617222,29,568,5519,608281,Baggodige,Karnataka,Tirthahalli,Shimoga,784,KARNATAKA,SHIMOGA,TIRTHAHALLI,BAGGUDIGE,"Fluoride : 0.500, Iron : 0.500, Chloride : 700.000, Nitrate : 55.000, Hardness : 500.000",11-29-568-05519-608281,636.9445438282647,637.0,621.0,628.0,613.0,675.0,3913,10.8285073737072
617222,29,568,5519,608281,Baggodige,Karnataka,Tirthahalli,Shimoga,785,KARNATAKA,SHIMOGA,TIRTHAHALLI,BAGGUDIGE,"Fluoride : 0.500, Chloride : 250.000, Nitrate : 65.000, Hardness : 100.000",11-29-568-05519-608281,636.9445438282647,637.0,621.0,628.0,613.0,675.0,3913,10.8285073737072
617222,29,568,5519,608281,Baggodige,Karnataka,Tirthahalli,Shimoga,786,KARNATAKA,SHIMOGA,TIRTHAHALLI,BAGGUDIGE,"Fluoride : 0.500, Chloride : 250.000, Nitrate : 75.000, Hardness : 100.000",11-29-568-05519-608281,636.9445438282647,637.0,621.0,628.0,613.0,675.0,3913,10.8285073737072
617225,29,568,5519,608284,Honnetalu,Karnataka,Tirthahalli,Shimoga,712,KARNATAKA,SHIMOGA,TIRTHAHALLI,HONNATHALU,"Fluoride : 0.500, Chloride : 450.000, Nitrate : 65.000, Hardness : 450.000",11-29-568-05519-608284,661.8235701563427,651.0,627.0,638.0,619.0,901.0,10106,42.222782369686094
617225,29,568,5519,608284,Honnetalu,Karnataka,Tirthahalli,Shimoga,713,KARNATAKA,SHIMOGA,TIRTHAHALLI,HONNATHALU,"Fluoride : 0.500, Chloride : 175.000, Nitrate : 45.000, Hardness : 500.000",11-29-568-05519-608284,661.8235701563427,651.0,627.0,638.0,619.0,901.0,10106,42.222782369686094
